month_key,product_name,region_name,revenue_nzd,direct_cost_nzd,opex_nzd,gross_profit,gross_margin_pct,ebitda,ebitda_margin_pct
202401,Log A28,Northland,158287.36,116165.25,21434.01,42122.109999999986,0.2661116465648299,20688.099999999988,0.13069963388106284
202401,Log A28,Hawke's Bay,298710.04,200153.23,41428.56,98556.80999999997,0.3299414040452071,57128.24999999997,0.1912498488500754
202401,Log A28,Waikato,259823.37,147349.83,37164.21,112473.54000000001,0.43288461696113023,75309.33000000002,0.28984817647465666
202401,Log A28,Vietnam,289377.75,188345.99,27909.64,101031.76000000001,0.3491345136244926,73122.12000000001,0.25268743018424883
202401,Log A28,China,208070.69,133902.4,21946.14,74168.29000000001,0.3564571732808691,52222.15000000001,0.2509827309170744
202401,Log A28,Japan,90238.79,66664.78,8132.77,23574.009999999995,0.26124031583313556,15441.239999999994,0.17111532634690685
202401,Log B22,Northland,114642.0,82499.68,5873.96,32142.320000000007,0.28037124265103547,26268.360000000008,0.22913382529962847
202401,Log B22,Hawke's Bay,193013.15,124267.27,11659.58,68745.87999999999,0.3561720017522122,57086.29999999999,0.29576378604255715
202401,Log B22,Waikato,275485.46,182844.11,39427.23,92641.35000000003,0.33628399117688473,53214.12000000003,0.19316489516361418
202401,Log B22,Vietnam,209532.36,120825.06,11825.1,88707.29999999999,0.42335847312558306,76882.19999999998,0.36692279894141405
202401,Log B22,China,206331.48,117936.27,27844.93,88395.21,0.42841358962771947,60550.280000000006,0.2934611819776604
202401,Log B22,Japan,219516.51,156893.01,15994.79,62623.5,0.2852792256946869,46628.71,0.2124155035081416
202401,Timber Premium,Northland,249450.48,145410.54,34825.27,104039.94,0.41707652757372926,69214.67000000001,0.2774685781322209
202401,Timber Premium,Hawke's Bay,333165.43,204085.43,27803.57,129080.0,0.3874351549619059,101276.43,0.3039824089792269
202401,Timber Premium,Waikato,324937.59,197244.77,39309.53,127692.82000000004,0.39297644818501926,88383.29000000004,0.2720008171415318
202401,Timber Premium,Vietnam,277026.26,194462.78,14108.73,82563.48000000001,0.2980348505589326,68454.75000000001,0.24710563540077396
202401,Timber Premium,China,289660.09,186187.9,35704.33,103472.19000000003,0.35721935320809994,67767.86000000003,0.23395649707904193
202401,Timber Premium,Japan,209706.62,147539.63,21125.03,62166.98999999999,0.29644743690017983,41041.95999999999,0.19571132279944234
202401,Timber Standard,Northland,278891.43,183622.12,13968.76,95269.31,0.34159999107896577,81300.55,0.2915132601959121
202401,Timber Standard,Hawke's Bay,303370.62,167309.06,41831.36,136061.56,0.4484994624726679,94230.2,0.31061082975009247
202401,Timber Standard,Waikato,267271.32,159258.17,31133.94,108013.15,0.4041329612170883,76879.20999999999,0.2876448172591058
202401,Timber Standard,Vietnam,256323.49,172999.94,26082.51,83323.54999999999,0.325071845736807,57241.03999999999,0.22331562355053763
202401,Timber Standard,China,387255.86,260010.65,23770.41,127245.20999999999,0.3285817547086311,103474.79999999999,0.2672000883343637
202401,Timber Standard,Japan,304097.14,174088.36,41248.13,130008.78000000003,0.4275238497803696,88760.65000000002,0.29188255437061994
202401,Pulp High Grade,Northland,262009.11,156271.08,27617.97,105738.03,0.40356623477710374,78120.06,0.2981578006963193
202401,Pulp High Grade,Hawke's Bay,81384.43,55955.54,11308.47,25428.889999999992,0.31245399150672915,14120.419999999993,0.17350272036063893
202401,Pulp High Grade,Waikato,189201.64,129486.27,22523.65,59715.37000000001,0.31561761303971786,37191.72000000001,0.19657186903876736
202401,Pulp High Grade,Vietnam,162777.52,104221.63,14218.39,58555.889999999985,0.3597295867390042,44337.499999999985,0.27238097742243517
202401,Pulp High Grade,China,163721.86,113477.74,10487.72,50244.11999999998,0.30688705833173396,39756.39999999998,0.24282890507107593
202401,Pulp High Grade,Japan,91017.74,67857.34,13440.03,23160.40000000001,0.254460284335779,9720.370000000008,0.10679643331069313
202401,Pulp Low Grade,Northland,167646.28,94093.15,17988.47,73553.13,0.43874000663778523,55564.66,0.3314398625486948
202401,Pulp Low Grade,Hawke's Bay,142875.62,84962.25,20747.46,57913.369999999995,0.4053411631739551,37165.909999999996,0.2601277250800381
202401,Pulp Low Grade,Waikato,121038.93,85577.75,12703.23,35461.17999999999,0.29297334336977365,22757.949999999993,0.18802173813003795
202401,Pulp Low Grade,Vietnam,147901.06,101470.99,13103.9,46430.06999999999,0.31392655333234254,33326.16999999999,0.22532745877548133
202401,Pulp Low Grade,China,95171.31,54454.64,6004.57,40716.67,0.4278250451738029,34712.1,0.3647328170643023
202401,Pulp Low Grade,Japan,226587.18,135923.32,15863.74,90663.85999999999,0.4001279330984215,74800.11999999998,0.3301162934284278
202402,Log A28,Northland,223208.36,147689.54,15557.95,75518.81999999998,0.33833329540165963,59960.86999999998,0.26863182902289134
202402,Log A28,Hawke's Bay,168409.74,112567.95,17277.73,55841.78999999999,0.33158290013392333,38564.06,0.22898948718761752
202402,Log A28,Waikato,229685.14,155944.4,20953.86,73740.74000000002,0.3210514184766155,52786.88000000002,0.22982279132206818
202402,Log A28,Vietnam,188712.86,129711.77,12541.9,59001.08999999998,0.31265007588777993,46459.18999999998,0.24618984630936114
202402,Log A28,China,165476.8,101107.17,21852.33,64369.62999999999,0.38899489233536055,42517.29999999999,0.2569381327170938
202402,Log A28,Japan,171321.29,111386.62,23193.54,59934.67000000001,0.349837839768776,36741.13000000001,0.21445746760370535
202402,Log B22,Northland,213886.11,157565.9,14310.39,56320.20999999999,0.2633186886235857,42009.81999999999,0.19641209987876257
202402,Log B22,Hawke's Bay,150340.46,83873.8,9587.93,66466.65999999999,0.44210760030932456,56878.72999999999,0.37833281872358243
202402,Log B22,Waikato,142189.45,80285.45,19299.02,61904.000000000015,0.4353628205186813,42604.98000000001,0.2996353104959616
202402,Log B22,Vietnam,219906.05,148766.76,26665.97,71139.28999999998,0.3234985576795181,44473.31999999998,0.2022378192869181
202402,Log B22,China,162920.91,90209.32,15607.43,72711.59,0.44629992552828235,57104.159999999996,0.35050233883422327
202402,Log B22,Japan,230133.04,156405.21,19107.52,73727.83000000002,0.3203704691859979,54620.31000000001,0.2373423216414297
202402,Timber Premium,Northland,353491.72,238288.21,44694.03,115203.50999999998,0.32590157981635326,70509.47999999998,0.19946571874441638
202402,Timber Premium,Hawke's Bay,251552.74,146209.83,21990.63,105342.91,0.4187706721063742,83352.28,0.3313511115005148
202402,Timber Premium,Waikato,260102.1,186168.13,17452.75,73933.97,0.28424980036685593,56481.22,0.21715018832989044
202402,Timber Premium,Vietnam,328697.8,211662.73,36154.33,117035.06999999998,0.35605674878262034,80880.73999999998,0.24606413550683934
202402,Timber Premium,China,303171.21,217371.84,36132.45,85799.37000000002,0.2830063250399008,49666.92000000003,0.16382465868048626
202402,Timber Premium,Japan,315531.6,213536.19,36857.18,101995.40999999997,0.32324943048493393,65138.229999999974,0.20643964027691672
202402,Timber Standard,Northland,316618.91,227723.71,40149.06,88895.19999999998,0.28076402638111536,48746.139999999985,0.15395839749432524
202402,Timber Standard,Hawke's Bay,274181.21,194839.48,30264.14,79341.73000000001,0.28937697809415897,49077.59000000001,0.17899691229752765
202402,Timber Standard,Waikato,283001.37,173030.1,38242.91,109971.26999999999,0.38858917891457556,71728.35999999999,0.2534558754962917
202402,Timber Standard,Vietnam,213776.94,144152.75,30280.82,69624.19,0.32568615679502194,39343.37,0.18403935429144042
